Code,Description
PWRLFO002,LFO - Power plant 2
PWRLFO003,LFO - Power plant 3
PWRNGS001,Natural Gas - Power plant 1
PWRNGS002,Natural Gas - Power plant 2
PWRNGS003,Natural Gas - Power plant 3
PWRNGS004,Natural Gas - Power plant 4
PWRNGS005,Natural Gas - Power plant 5
PWRNGS006,Natural Gas - Power plant 6
PWRNGS007,Natural Gas - Power plant 7
PWRNGS008,Natural Gas - Power plant 8
PWRNGS009,Natural Gas - Power plant 9
PWRNGS010,Natural Gas - Power plant 10
PWRNGS011,Natural Gas - Power plant 11
PWRNGS012,Natural Gas - Power plant 12
PWRNGS013,Natural Gas - Power plant 13
PWRNGS014,Natural Gas - Power plant 14
PWRNGS015,Natural Gas - Power plant 15
PWRNGS016,Natural Gas - Power plant 16
PWRNGS017,Natural Gas - Power plant 17
PWRNGS018,Natural Gas - Power plant 18
PWRSOL001,Solar - Power plant 1
PWRSOL002,Solar - Power plant 2
PWRSOL003,Solar - Power plant 3
PWRSOL004,Solar - Power plant 4
PWRSOL005,Solar - Power plant 5
PWRSOL006,Solar - Power plant 6
PWRSOL007,Solar - Power plant 7
PWRSOL008,Solar - Power plant 8
PWRSOL009,Solar - Power plant 9
PWRSOL010,Solar - Power plant 10
PWRSOL011,Solar - Power plant 11
PWRSOL012,Solar - Power plant 12
PWRSOL013,Solar - Power plant 13
PWRSOL014,Solar - Power plant 14
PWRSOL015,Solar - Power plant 15
PWRSOL016,Solar - Power plant 16
PWRSOL101,Solar - Power plant 17
PWRTRN,Transmission grid
PWRURN001,Nuclear - Power plant 1
PWRURN002,Nuclear - Power plant 2
PWRURN003,Nuclear - Power plant 3
PWRWND001,Wind - Power plant 1
PWRWND002,Wind - Power plant 2
PWRWND003,Wind - Power plant 3
PWRWND004,Wind - Power plant 4
PWRWND005,Wind - Power plant 5
PWRWND006,Wind - Power plant 6
PWRWND007,Wind - Power plant 7
PWRWND008,Wind - Power plant 8
PWRWND009,Wind - Power plant 9
PWRWND010,Wind - Power plant 10
PWRWND011,Wind - Power plant 11
PWRWND012,Wind - Power plant 12
PWRWND013,Wind - Power plant 13
PWRWND014,Wind - Power plant 14
PWRWND015,Wind - Power plant 15
PWRWND016,Wind - Power plant 16
PWRWND017,Wind - Power plant 17
PWRWND018,Wind - Power plant 18
PWRWND019,Wind - Power plant 19
PWRWND020,Wind - Power plant 20
PWRWND021,Wind - Power plant 21
PWRWND022,Wind - Power plant 22
PWRWND023,Wind - Power plant 23
PWRWND024,Wind - Power plant 24
PWRWND025,Wind - Power plant 25
PWRWND026,Wind - Power plant 26
PWRWND027,Wind - Power plant 27
PWRWND028,Wind - Power plant 28
PWRWND101,Wind - Power plant 29
RC1ELC001,Residential - Cooling demand urban - Electricity - Base efficiency
RC2ELC001,Residential - Cooling demand rural - Electricity - Base efficiency
RK1BGS001,Residential - Cooking - Urban - Biogas
RK1BIO001 ,Residential - Cooking - Urban - Three stone open fire
RK1BIO005,"Residential - Cooking - Urban - Improved firewood stoves (e.g., Kuni mbili stove,manufactured firewoodstoves, gasifier stoves)"
RK1CHC001,Residential - Cooking - Urban - Metallic charcoal stove
RK1CHC005,Residential - Cooking - Urban - Improved Charcoal Stove (ceramic lined stoves) 
RK1ELC001,Residential - Cooking - Urban - Electric coil
RK1ELC005 ,Residential - Cooking - Urban - Electric induction stove
RK1ELC100 ,Residential - Cooking - Urban - Electric Pressure Cooker
RK1ETH001,Residential - Cooking - Urban - Biofuel stove (e.g. KOKO)
RK1KER001 ,"Residential - Cooking - Urban - Kerosene stove"
RK1LPG001 ,Residential - Cooking - Urban - LPG stove
RK2BGS001,Residential - Cooking - Rural - Biogas
RK2BIO001 ,Residential - Cooking - Rural - Three stone open fire
RK2BIO005,"Residential - Cooking - Rural - Improved firewood stoves (e.g., Kuni mbili stove,manufactured firewoodstoves, gasifier stoves)"
RK2CHC001 ,Residential - Cooking - Rural - Metallic charcoal stove
RK2CHC005 ,Residential - Cooking - Rural - Improved Charcoal Stove (ceramic lined stoves) 
RK2ELC001,Residential - Cooking - Rural - Electric coil
RK2ELC005,Residential - Cooking - Rural - Electric induction stove
RK2ELC100,Residential - Cooking - Rural - Electric Pressure Cooker
RK2ETH001,Residential - Cooking - Rural - Biofuel stove (e.g. KOKO)
RK2KER001,"Residential - Cooking - Rural - Kerosene stove"
RK2LPG001 ,Residential - Cooking - Rural - LPG stove
RL1ELC001,Residential - Lighting urban - Electricity - Base efficiency
RL1ELC005,Residential - Lighting urban - Electricity - Improved efficiency
RL1KER001,Residential - Lighting urban - Kerosene - Base efficiency
RL1KER005,Residential - Lighting urban - Kerosene - Improved efficiency
RL2ELC001,Residential - Lighting rural - Electricity - Base efficiency
RL2ELC005,Residential - Lighting rural - Electricity - Improved efficiency
RL2KER001,Residential - Lighting rural - Kerosene - Base efficiency
RL2KER005,Residential - Lighting rural - Kerosene - Improved efficiency
RO1ELC001,Residential - Other electricity demand urban - Electricity - Base efficiency
RO1ELC005,Residential - Other electricity demand urban - Electricity - Improved efficiency
RO2ELC001,Residential - Other electricity demand rural - Electricity - Base efficiency
RO2ELC005,Residential - Other electricity demand rural - Electricity - Improved efficiency
TAIJFL001,Transport - Aviation - Jet fuel - Base efficiency
TRBDSL001,Transport - Bus - Diesel - Base efficiency
TRBDSL005,Transport - Bus - Diesel - Improved efficiency
TRBDSL010,Transport - Bus - Diesel - High efficiency
TRBELC001,Transport - Bus - Electricity - Base efficiency
