Code,Description
CO2,Overall carbon dioxide emissions
CO2agr,Carbon dioxide emissions agricultural sector
CO2com,Carbon dioxide emissions commercial sector
CO2ind,Carbon dioxide emissions industry
CO2res,Carbon dioxide emissions residential sector
CO2tra,Carbon dioxide emissions transports sector
